,node_name,Count_Jan,Predicted_may,predicted_June,jun_cases,May_cases,Reduced_May,Reduced_Jun
59,"Basel,Switzerland",49,79.91235870561827,230.3703798087196,49,49,59.515641084609115,158.0309796416755
60,"Basel-Landschaft,Switzerland",89,123.40893886921953,341.33141983735544,89,89,105.92603805121206,279.32621969417596
61,"Basque Country,Spain",939,1103.559422736612,2897.3256875699226,939,939,1097.7317891306075,2876.657287522189
62,"Bauchi,Nigeria",37,43.22909280997167,113.26022316212574,223,223,43.22909280997167,113.26022316212574
63,"Bavaria,Germany",2072,2424.0667715839663,6354.054941549997,2072,2072,2421.152954780974,6343.720741526163
64,"Bayamión,Puerto Rico",2,15.287004621685904,52.05195210881704,2,2,3.6317374096807256,10.715152013363499
65,"Beijing,China",572,843.127415945044,2370.993829776019,572,572,685.7813085829738,1812.9470284873908
66,"Beirut,Lebanon",6,19.960420060601745,64.29630055877648,6,6,8.305152848596578,22.959500463323018
67,"Benue,Nigeria",1,1.1683538597289633,3.0610871124898806,5,5,1.1683538597289633,3.0610871124898806
68,"Berlin,Germany",239,288.9492951518936,766.0471532979615,239,239,280.2078447428888,735.0445532263685
69,"Bern,Switzerland",60,89.5266769370796,252.5598935751486,60,60,72.04377611907209,190.55469343196907
70,"Biobio,Chile",213,248.85937212226926,652.0115549603458,213,213,248.85937212226926,652.0115549603458
71,"Blida,Algeria",4,17.623712341143825,58.174126333796714,4,4,5.968445129138654,16.83732623834325
72,"Bouira,Algeria",9,10.515184737560672,27.549784012408942,9,9,10.515184737560672,27.549784012408942
73,"Boumerdes,Algeria",16,31.64395865789135,94.90717168367549,16,16,19.988691445886193,53.570371588221754
74,"Bourgogne-Franche-Comte,France",796,930.0096723442549,2436.6253415419496,796,796,930.0096723442549,2436.6253415419496
75,"Brandenburg,Germany",35,47.367533541627814,130.10293787906485,35,35,41.53989993562521,109.43453783133806
76,"Bratislavsky,Slovakia",1,1.1683538597289633,3.0610871124898806,1,1,1.1683538597289633,3.0610871124898806
77,"Bremen,Germany",28,32.71390807241099,85.71043914971678,28,28,32.71390807241099,85.71043914971678
78,"Bretagne,France",117,143.17255003940252,381.11208110323435,117,117,137.34491643340027,360.44368105550876
79,"British Columbia,Canada",313,388.35777767406415,1038.4973775060487,313,313,367.96106005305546,966.1579773390068
80,"Brittany,France",144,174.71810425208432,463.7614331404602,144,144,168.89047064608252,443.09303309273633
81,"Brussels,Belgium",222,275.5624279876149,736.9735613275514,222,222,260.9933439726087,685.3025612082349
82,"Bruxelles-Capitale,Belgium",1,14.118650761956937,48.990864996327126,1,1,2.4633835499517613,7.6540649008736095
83,"Bucharest,Romania",5,5.841769298644816,15.305435562449414,5,5,5.841769298644816,15.305435562449414
84,"Buenos Aires,Argentina",250,298.56361338335455,788.2366670643897,250,250,292.73597977735193,767.5682670166624
85,"Burgenland,Austria",71,82.95312404075642,217.33718498678155,71,71,82.95312404075642,217.33718498678155
86,"Busan,South Korea",158,191.07505828828994,506.61665271531893,158,158,185.24742468228797,485.9482526675947
87,"Bushehr,Iran",6,7.010123158373782,18.36652267493932,6,6,7.010123158373782,18.36652267493932
88,"Buzau,Romania",2,2.3367077194579267,6.122174224979761,2,2,2.3367077194579267,6.122174224979761
89,"Caaguazu,Paraguay",7,8.178477018102747,21.427609787429194,7,7,8.178477018102747,21.427609787429194
90,"Caguas,Puerto Rico",2,21.762153072799887,75.01684105073566,2,2,4.279252254792121,13.011640907555377
91,"California,United States",2362,2847.066320769845,7540.31376041698,2362,2362,2768.3932670888157,7261.290359772709
92,"Campania,Italy",3,3.505061579186891,9.18326133746966,3,3,3.505061579186891,9.18326133746966
93,"Campeche,Mexico",97,113.33032439370947,296.9254499115189,97,97,113.33032439370947,296.9254499115189
94,"Canary Islands,Spain",223,270.2556333962302,717.0697594981223,223,223,261.5141829872258,686.0671594265311
95,"Cantabria,Spain",236,275.73151089603545,722.4165585476128,236,236,275.73151089603545,722.4165585476128
96,"Capital Region,Denmark",134,156.5594172036811,410.1856730736444,134,134,156.5594172036811,410.1856730736444
97,"Capital Region,Iceland",6,13.485271609487748,41.331411616857906,6,6,7.657638003485167,20.663011569131136
98,"Carinthia,Austria",122,142.5391708869336,373.452627723766,122,122,142.5391708869336,373.452627723766
99,"Casablanca-Settat,Morocco",4,4.673415438915853,12.244348449959523,4,4,4.673415438915853,12.244348449959523
100,"Castile and Leon,Spain",1002,1177.1657158995365,3090.1741756567812,1002,1002,1171.3380822935328,3069.5057756090564
101,"Castilla y Leon,Spain",29,40.357410383254,111.7364152041256,29,29,34.52977677725138,91.0680151563986
102,"Castilla-La Mancha,Spain",27,38.020702663796044,105.61424097914565,27,27,32.193069057793416,84.94584093141874
103,"Castilla–La Mancha,Spain",1162,1364.1023334561714,3579.948113655166,1162,1162,1358.2746998501673,3559.2797136074346
104,"Catalonia,Spain",3443,4022.6423390468212,10539.32292830267,3443,3443,4022.6423390468212,10539.32292830267
105,"Ceara,Brazil",37,43.22909280997167,113.26022316212574,37,37,43.22909280997167,113.26022316212574
106,"Cebu,Philippines",2,2.3367077194579267,6.122174224979761,2,2,2.3367077194579267,6.122174224979761
107,"Central Region,Denmark",34,39.72403123078477,104.07696182465611,34,34,39.72403123078477,104.07696182465611
108,"Central,Paraguay",189,224.0564537143309,590.0279087315477,189,189,221.14263691132953,579.6937087076835
109,"Central,Russia",189,227.2940279398877,601.5103532025053,189,189,221.4663943338858,580.8419531547804
110,"Centre,Burkina Faso",92,107.48855509506463,281.6200143490691,92,92,107.48855509506463,281.6200143490691
111,"Centre,Cameroon",19,22.198723334850317,58.16065513730787,19,19,22.198723334850317,58.16065513730787
112,"Centre-Val de Loire,France",172,200.95686387338165,526.5069833482597,172,172,200.95686387338165,526.5069833482597
113,"Centro,Portugal",238,278.0682186154934,728.5387327725928,238,238,278.0682186154934,728.5387327725928
114,"Chaco,Argentina",98,114.4986782534384,299.9865370240085,98,98,114.4986782534384,299.9865370240085
115,"Chahar Mahall and Bakhtiari,Iran",18,21.030369475121343,55.099568024817884,18,18,21.030369475121343,55.099568024817884
116,"Chernivtsi,Ukraine",2,2.3367077194579267,6.122174224979761,2,2,2.3367077194579267,6.122174224979761
117,"Chiapas,Mexico",232,274.29566968267676,721.6546545686143,232,232,271.3818528796749,711.3204545447473
118,"Chiba Prefecture,Japan",34,52.67432813301269,150.00673970849334,34,34,41.01906092100752,108.66993961303973
119,"Chihuahua,Mexico",270,315.4555421268201,826.4935203722678,270,270,315.4555421268201,826.4935203722678
120,"Chisinau,Moldova",1,1.1683538597289633,3.0610871124898806,1,1,1.1683538597289633,3.0610871124898806
121,"Chongqing,China",824,969.1987288677817,2545.300669633584,824,824,963.3710952617766,2524.6322695858535
122,"Chuquisaca,Bolivia",1,1.1683538597289633,3.0610871124898806,1,1,1.1683538597289633,3.0610871124898806
123,"Ciudad de Buenos Aires,Argentina",335,397.8736914603166,1048.4290716260296,335,335,392.04605785431363,1027.760671578301
124,"Coahuila,Mexico",875,1022.3096272628433,2678.4512234286467,875,875,1022.3096272628433,2678.4512234286467
125,"Colima,Chile",28,32.71390807241099,85.71043914971678,28,28,32.71390807241099,85.71043914971678
126,"Colima,Mexico",41,47.90250824888749,125.50457161208531,41,41,47.90250824888749,125.50457161208531
127,"Colorado,United States",973,1217.7476611552063,3265.498872226638,973,973,1144.9022410801736,3007.143871630057
128,"Comunidad de Madrid,Spain",474,560.2748779626432,1473.9201802621255,474,474,554.4472443566394,1453.2517802143946
129,"Connecticut,United States",636,756.023351689848,1992.7811814274028,636,636,744.3680844778428,1951.4443813319472
130,"Cordillera,Paraguay",3,3.505061579186891,9.18326133746966,3,3,3.505061579186891,9.18326133746966
131,"Cordoba,Argentina",104,121.50880141181223,318.3530596989481,104,104,121.50880141181223,318.3530596989481
132,"Corrientes,Argentina",22,25.70378491403721,67.3439164747775,22,22,25.70378491403721,67.3439164747775
133,"Corse,France",64,81.24979547376775,218.8744641412712,64,64,75.42216186776496,198.2060640935442
134,"Corsica,France",26,36.85234880406708,102.55315386665589,26,26,31.024715198064442,81.88475381892886
135,"Cundinamarca,Colombia",3,3.505061579186891,9.18326133746966,3,3,3.505061579186891,9.18326133746966
136,"Daegu,South Korea",5064,5981.295430178613,15730.994027067982,5064,5064,5923.019094118579,15524.310026590712
137,"Daejeon,South Korea",20,29.84222564569322,84.18663119171626,20,20,24.014592039690662,63.51823114398969
138,"Dakar,Senegal",2,2.3367077194579267,6.122174224979761,2,2,2.3367077194579267,6.122174224979761
139,"Dalarna,Sweden",15,17.525307895934443,45.91630668734824,15,15,17.525307895934443,45.91630668734824
140,"Delaware,United States",95,114.23119089980835,302.285720157498,95,95,111.3173740968074,291.95152013363503
141,"Delhi,India",3689,4316.532536991256,11315.315246917098,29123,27815,4310.704903385263,11294.646846869397
142,"District of Columbia,United States",195,253.72959645160424,688.7715427032033,195,195,230.41906202759398,606.097942512296
143,"Distrito Federal,Brazil",230,275.1965361887752,727.0149248145909,230,230,269.3689025827731,706.3465247668643
144,"Distrito Federal,Mexico",554,647.2680382898458,1695.842260319394,554,554,647.2680382898458,1695.842260319394
145,"Drenthe,Netherlands",61,84.2198823456949,232.65609174572054,61,61,72.56461513368973,191.31929165026708
146,"Durango,Mexico",103,120.34044755208323,315.2919725864583,103,103,120.34044755208323,315.2919725864583
147,"East Azarbaijan,Iran",130,151.8860017647652,397.9413246236847,130,130,151.8860017647652,397.9413246236847
148,"East Kazakhstan,Kazakhstan",2,2.3367077194579267,6.122174224979761,2,2,2.3367077194579267,6.122174224979761
149,"Eastern Cape,South Africa",2,2.3367077194579267,6.122174224979761,2,2,2.3367077194579267,6.122174224979761
150,"Edo,Nigeria",44,51.40756982807442,134.687832949555,119,119,51.40756982807442,134.687832949555
151,"Ehime,Japan",4,11.148563890029832,35.209237391878155,4,4,5.320930284027239,14.54083734415136
152,"Ekiti,Nigeria",8,9.346830877831707,24.488696899919045,19,19,9.346830877831707,24.488696899919045
153,"El Oro,Ecuador",1,1.1683538597289633,3.0610871124898806,1,1,1.1683538597289633,3.0610871124898806
154,"Emilia-Romagna,Italy",89,103.98349351587778,272.4367530115999,89,89,103.98349351587778,272.4367530115999
155,"England,United Kingdom",12283,14383.26620130643,37714.157447422804,12283,12283,14354.128033276435,37610.81544718422
156,"Entre Rios,Argentina",13,15.188600176476529,39.79413246236851,13,13,15.188600176476529,39.79413246236851
157,"Enugu,Nigeria",3,3.505061579186891,9.18326133746966,16,16,3.505061579186891,9.18326133746966
158,"Esfahan,Iran",476,556.1364372309868,1457.0774655451855,476,476,556.1364372309868,1457.0774655451855
159,"Espirito Santo,Brazil",1,1.1683538597289633,3.0610871124898806,1,1,1.1683538597289633,3.0610871124898806
160,"Estado de Mexico,Mexico",2667,3128.9500407993773,8209.849106894366,2667,2667,3117.294773587369,8168.512306798907
161,"Extremadura,Spain",235,274.5631570363065,719.3554714351236,235,235,274.5631570363065,719.3554714351236
162,"Fajardo,Puerto Rico",1,14.118650761956937,48.990864996327126,1,1,2.4633835499517613,7.6540649008736095
163,"Far Eastern,Russia",3,3.505061579186891,9.18326133746966,3,3,3.505061579186891,9.18326133746966
164,"Fars,Iran",136,158.89612492313907,416.30784729862444,136,136,158.89612492313907,416.30784729862444
165,"Federal Capital Territory,Nigeria",10,18.158687048403593,53.57576006681744,10,10,12.33105344240102,32.90736001909068
166,"Federally Administered Tribal Area,Pakistan",2,2.3367077194579267,6.122174224979761,2,2,2.3367077194579267,6.122174224979761
167,"Flanders,Belgium",990,1169.620618033904,3076.4060192488346,990,990,1157.9653508218958,3035.069219153365
168,"Flevoland,Netherlands",53,81.34819991897695,231.1322837877196,53,53,63.865299100969345,169.12708364453985
169,"Florida,United States",1575,2322.5558886811123,6532.096428344503,1575,1575,1888.3971850339171,4992.300624788857
170,"Free State,South Africa",18,21.030369475121343,55.099568024817884,18,18,21.030369475121343,55.099568024817884
171,"French Guiana,France",4,4.673415438915853,12.244348449959523,4,4,4.673415438915853,12.244348449959523
172,"Fribourg,Switzerland",9,29.94063009090265,96.44445083816485,9,9,12.457729272894886,34.439250694984565
173,"Friesland,Netherlands",59,68.93287772400886,180.6041396369032,59,59,68.93287772400886,180.6041396369032
174,"Fujian,China",516,602.8705916201458,1579.5209500447816,516,516,602.8705916201458,1579.5209500447816
175,"Gabrovo,Bulgaria",2,2.3367077194579267,6.122174224979761,2,2,2.3367077194579267,6.122174224979761
176,"Galati,Romania",2,8.811856170571913,29.087063166898357,2,2,2.984222564569327,8.418663119171624
177,"Galicia,Spain",550,642.5946228509303,1683.5979118694365,550,550,642.5946228509303,1683.5979118694365
178,"Gangwon,South Korea",76,101.7451902416294,278.5723984330689,76,76,90.08992302962425,237.2355983376155
179,"Gansu,China",186,252.92713439071392,695.6690921036709,186,186,220.87514955770035,581.9928918411755
180,"Gauteng,South Africa",302,352.8428656381469,924.448307971944,302,302,352.8428656381469,924.448307971944
181,"Gavleborg,Sweden",10,11.683538597289632,30.61087112489883,10,10,11.683538597289632,30.61087112489883
182,"Gelderland,Netherlands",439,519.3824928721289,1366.782131324979,439,439,513.5548592661257,1346.1137312772485
183,"Geneva,Switzerland",4,4.673415438915853,12.244348449959523,4,4,4.673415438915853,12.244348449959523
184,"Georgia,United States",904,1088.5676314505533,2882.04719440045,904,904,1059.4294634205405,2778.70519416181
185,"Gifu,Japan",4,4.673415438915853,12.244348449959523,4,4,4.673415438915853,12.244348449959523
186,"Gilan,Iran",666,778.1236705794898,2038.684016918261,666,666,778.1236705794898,2038.684016918261
187,"Gilgit-Baltistan,Pakistan",4,4.673415438915853,12.244348449959523,4,4,4.673415438915853,12.244348449959523
188,"Goias,Brazil",9,10.515184737560672,27.549784012408942,9,9,10.515184737560672,27.549784012408942
189,"Golestan,Iran",74,86.45818561994334,226.52044632425148,74,74,86.45818561994334,226.52044632425148
190,"Gorj,Romania",2,2.3367077194579267,6.122174224979761,2,2,2.3367077194579267,6.122174224979761
191,"Grand Est,France",1949,2280.3592468373045,5977.541226713736,1949,1949,2277.4454300343114,5967.207026689901
192,"Graubuenden,Switzerland",2,2.3367077194579267,6.122174224979761,2,2,2.3367077194579267,6.122174224979761
193,"Greater Accra Region,Ghana",15,17.525307895934443,45.91630668734824,15,15,17.525307895934443,45.91630668734824
194,"Greater Poland,Poland",22,25.70378491403721,67.3439164747775,22,22,25.70378491403721,67.3439164747775
195,"Groningen,Netherlands",81,101.11181108916013,270.9129450535994,81,81,95.28417748315736,250.24454500587268
196,"Guadeloupe,France",11,12.851892457018605,33.67195823738875,11,11,12.851892457018605,33.67195823738875
197,"Guanajuato,Mexico",484,565.4832681088184,1481.5661624451056,484,484,565.4832681088184,1481.5661624451056
198,"Guangdong,China",2456,2875.9522279454422,7540.994837217061,2456,2456,2870.1245943394456,7520.326437169353
199,"Guangxi,China",498,581.8402221450237,1524.4213820199604,498,498,581.8402221450237,1524.4213820199604
200,"Guatemala City,Guatemala",2,8.811856170571913,29.087063166898357,2,2,2.984222564569327,8.418663119171624
201,"Guayas,Ecuadar",4,4.673415438915853,12.244348449959523,4,4,4.673415438915853,12.244348449959523
202,"Guayas,Ecuador",72,87.35905212604216,231.8807165702301,72,72,84.44523532304126,221.54651654636817
203,"Guerrero,Mexico",295,344.6643886200442,903.0206981845153,295,295,344.6643886200442,903.0206981845153
204,"Guizhou,China",180,216.77884320232704,573.9605691900974,180,180,210.95120959632519,553.2921691423717
205,"Gwangju,South Korea",16,25.168810206777387,71.94228274175683,16,16,19.341176600774805,51.27388269403007
206,"Gyeonggi,South Korea",118,144.34090389913158,384.173168215724,118,118,138.5132702931292,363.50476816799835
207,"HaDarom,Israel",4,17.623712341143825,58.174126333796714,4,4,5.968445129138654,16.83732623834325
208,"HaMerkaz,Israel",2,15.287004621685904,52.05195210881704,2,2,3.6317374096807256,10.715152013363499
209,"Hainan,China",268,319.593982858476,843.3362350892086,268,268,313.7663492524732,822.6678350414788
210,"Halland,Sweden",9,10.515184737560672,27.549784012408942,9,9,10.515184737560672,27.549784012408942
211,"Hamadan,Iran",32,37.38732351132683,97.95478759967618,32,32,37.38732351132683,97.95478759967618
212,"Hamburg,Germany",436,519.1150055184993,1369.081314458467,436,436,510.37355510949436,1338.078714386874
213,"Harju,Estonia",1,1.1683538597289633,3.0610871124898806,1,1,1.1683538597289633,3.0610871124898806
214,"Haryana,India",72,90.59662635159945,243.36316104119024,1171,1041,84.76899274559665,222.69476099346343
215,"Hauts-de-France,France",859,1003.6159655071797,2629.4738296288106,859,859,1003.6159655071797,2629.4738296288106
216,"Hawaii,United States",89,136.35923577144766,387.2611977211926,89,89,107.22106774143457,283.9191974825586
217,"Hebei,China",402,469.6782516110434,1230.5570192209339,402,402,469.6782516110434,1230.5570192209339
218,"Heilongjiang,China",562,656.6148691676774,1720.3309572193139,562,562,656.6148691676774,1720.3309572193139
219,"Henan,China",2070,2431.4427865411853,6382.380100737899,2070,2070,2419.7875193291757,6341.043300642433
220,"Herat,Afghanistan",8,15.821979328945675,47.45358584183774,8,8,9.994345722943097,26.785185794110877
221,"Hesse,Germany",275,324.53488565102276,853.2814004056811,275,275,321.6210688480203,842.9472003818125
222,"Hidalgo,Mexico",318,371.5365273938103,973.4257017717837,318,318,371.5365273938103,973.4257017717837
223,"Hofudborgarsvaedi,Iceland",6,13.485271609487748,41.331411616857906,6,6,7.657638003485167,20.663011569131136
224,"Hokkaido,Japan",164,204.56032989777825,547.9480643321787,164,164,192.9050626857726,506.611264236724
225,"Holy Cross,Poland",2,2.3367077194579267,6.122174224979761,2,2,2.3367077194579267,6.122174224979761
226,"Hong Kong,China",102,138.59753904569604,381.12555229972367,102,102,121.11463822768854,319.12035215654413
227,"Hormozgan,Iran",26,30.377200352953057,79.58826492473702,26,26,30.377200352953057,79.58826492473702
228,"Hubei,China",20340,23929.43379239047,62848.11653606306,20340,20340,23780.82913543741,62321.07233484604
229,"Hunan,China",1768,2068.8871982263627,5423.484459353073,1768,1768,2065.973381423363,5413.1502593292125
230,"Hyogo,Japan",10,11.683538597289632,30.61087112489883,10,10,11.683538597289632,30.61087112489883
231,"Idaho,United States",87,104.88436002197662,277.79702325757864,87,87,101.97054321897566,267.46282323371594
232,"Ilam,Iran",22,25.70378491403721,67.3439164747775,22,22,25.70378491403721,67.3439164747775
233,"Ile-de-France,France",2970,3473.248537620575,9102.91116856592,2970,2970,3470.334720817584,9092.576968542066
234,"Illinois,United States",1570,1844.0282824511423,4840.354100021993,1570,1570,1835.2868320421387,4809.351499950408
235,"Incheon,South Korea",12,20.495394767861523,59.697934291797225,12,12,14.66776116185895,39.02953424407042
236,"Indiana,United States",373,448.74628658113073,1187.7152708425629,373,373,437.09101936912685,1146.378470747111
237,"Inner Mongolia,China",292,341.1593270408573,893.8374368470456,292,292,341.1593270408573,893.8374368470456
238,"Innlandet,Norway",38,44.397446669700635,116.32131027461574,38,38,44.397446669700635,116.32131027461574
239,"Iowa,United States",128,149.5492940453073,391.8191503987047,128,128,149.5492940453073,391.8191503987047
240,"Ishikawa,Japan",8,9.346830877831707,24.488696899919045,8,8,9.346830877831707,24.488696899919045
241,"Jalisco,Mexico",975,1139.1450132357395,2984.559934677637,975,975,1139.1450132357395,2984.559934677637
242,"Jambyl,Kazakhstan",3,3.505061579186891,9.18326133746966,3,3,3.505061579186891,9.18326133746966
243,"Jamtland,Sweden",15,17.525307895934443,45.91630668734824,15,15,17.525307895934443,45.91630668734824
244,"Jeju,South Korea",8,35.24742468228765,116.34825266759343,8,8,11.936890258277309,33.6746524766865
245,"Jeollabuk-do,South Korea",2,2.3367077194579267,6.122174224979761,2,2,2.3367077194579267,6.122174224979761
246,"Jiangsu,China",982,1147.3234902538425,3005.98754446507,982,982,1147.3234902538425,3005.98754446507
247,"Jiangxi,China",1610,1894.0000110658623,4974.28002899256,1610,1610,1882.3447438538524,4932.94322889709
248,"Jilin,China",200,269.2840884269196,738.5243116785296,200,200,237.23210359390586,624.8481114160337
249,"Johor,Malaysia",4,4.673415438915853,12.244348449959523,4,4,4.673415438915853,12.244348449959523
250,"Jonkoping,Sweden",13,15.188600176476529,39.79413246236851,13,13,15.188600176476529,39.79413246236851
251,"Jujuy,Argentina",3,3.505061579186891,9.18326133746966,3,3,3.505061579186891,9.18326133746966
252,"Jura,Switzerland",27,50.97099956602401,151.54401886298285,27,27,33.48809874801619,89.53881871980246
253,"Kaduna,Nigeria",35,40.89238509051374,107.13804893714607,152,152,40.89238509051374,107.13804893714607
254,"Kalmar,Sweden",7,8.178477018102747,21.427609787429194,7,7,8.178477018102747,21.427609787429194
255,"Kanagawa Prefecture,Japan",1130,1333.1901583959589,3504.958214997411,1130,1130,1321.5348911839503,3463.621414901949
256,"Kansas,United States",107,147.67688256989794,407.9134323331322,107,107,127.28016494888874,335.5740321660885
257,"Karbala,Iraq",2,2.3367077194579267,6.122174224979761,2,2,2.3367077194579267,6.122174224979761
258,"Kedah,Malaysia",2,2.3367077194579267,6.122174224979761,2,2,2.3367077194579267,6.122174224979761
259,"Kentucky,United States",167,195.115094574737,511.2015477858106,167,167,195.115094574737,511.2015477858106
260,"Kerala,India",1,1.1683538597289633,3.0610871124898806,8,8,1.1683538597289633,3.0610871124898806
261,"Kerman,Iran",36,42.06073895024269,110.19913604963577,36,36,42.06073895024269,110.19913604963577
